//Cycle : #inst 0  pc opcode reg regnum value
      1155 :   #483 0 00000062 00020283 
      1163 :   #484 0 00000066 00518023 
      1163 :   #485 0 0000006a 00000205 r4=00010074
      1164 :   #486 0 0000006c fe029be3 
      1164 :   #487 0 00000062 00020283 
      1172 :   #488 0 00000066 00518023 
      1172 :   #489 0 0000006a 00000205 r4=00010075
      1173 :   #490 0 0000006c fe029be3 
      1173 :   #491 0 00000062 00020283 
      1181 :   #492 0 00000066 00518023 
      1181 :   #493 0 0000006a 00000205 r4=00010076
      1182 :   #494 0 0000006c fe029be3 
      1182 :   #495 0 00000062 00020283 
      1190 :   #496 0 00000066 00518023 
      1190 :   #497 0 0000006a 00000205 r4=00010077
      1191 :   #498 0 0000006c fe029be3 
      1191 :   #499 0 00000062 00020283 
      1199 :   #500 0 00000066 00518023 
      1199 :   #501 0 0000006a 00000205 r4=00010078
      1200 :   #502 0 0000006c fe029be3 
      1200 :   #503 0 00000062 00020283 
      1208 :   #504 0 00000066 00518023 
      1208 :   #505 0 0000006a 00000205 r4=00010079
      1209 :   #506 0 0000006c fe029be3 
      1209 :   #507 0 00000062 00020283 
      1217 :   #508 0 00000066 00518023 
      1217 :   #509 0 0000006a 00000205 r4=0001007a
      1218 :   #510 0 0000006c fe029be3 
      1218 :   #511 0 00000062 00020283 
      1226 :   #512 0 00000066 00518023 
      1226 :   #513 0 0000006a 00000205 r4=0001007b
      1227 :   #514 0 0000006c fe029be3 
      1227 :   #515 0 00000062 00020283 
      1235 :   #516 0 00000066 00518023 
      1235 :   #517 0 0000006a 00000205 r4=0001007c
      1236 :   #518 0 0000006c fe029be3 
      1241 :   #519 0 00000070 f00505b7 r11=f0050000
      1242 :   #520 0 00000074 000015f1 r11=f004fffc
      1243 :   #521 0 00000076 0005a023 
      1243 :   #522 0 0000007a d05801b7 r3=d0580000
      1244 :   #523 0 0000007e 0ff00293 r5=000000ff
      1244 :   #524 0 00000082 00518023 
      1245 :   #525 0 00000086 fe000ae3 
